case_name,result,manual,comment,error_type,time,test_plan_name,csm_build_version,date,tester,failed_reason,bug_id,automation_comment,first_run_result
tc_tuner_fm_0001,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0004,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0006,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0007,Failed,Manual,,,,,,20190930,yichi.zhang,CSM_Bug,155354,,
tc_tuner_fm_0008,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0010,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0011,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0012,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0021,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0022,,,,,,,,,,,,,
tc_tuner_fm_0023,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0033,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0036,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0039,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0042,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0043,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0051,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0052,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0053,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0054,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0056,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0060,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0129,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0130,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0131,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0132,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0133,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0134,Success,Manual,,,,,,20190930,yichi.zhang,,,,
tc_tuner_fm_0135,Success,Manual,,,,,,20190930,yichi.zhang,,,,
